,x,y,label
82,0.0,13.4,1
83,0.0,13.35,1
84,0.0,13.29,1
85,0.0,13.23,1
86,0.0,13.18,1
87,0.0,13.12,1
88,0.0,13.07,1
89,0.0,13.01,1
90,0.0,12.95,1
91,0.0,12.9,1
92,0.0,12.84,1
93,0.0,12.79,1
94,0.0,12.73,1
95,0.0,12.67,1
96,0.0,12.62,1
97,0.0,12.56,1
98,0.0,12.5,1
99,0.0,12.45,1
100,0.0,12.39,1
101,0.0,12.34,1
102,0.0,12.28,1
103,0.0,12.22,1
104,0.0,12.17,1
105,0.0,12.11,1
106,0.0,12.06,1
107,0.0,12.0,1
108,0.0,11.94,1
109,0.0,11.89,1
110,0.0,11.83,1
111,0.0,11.78,1
112,0.0,11.72,1
113,0.0,11.66,1
114,0.0,11.61,1
115,0.0,11.55,1
116,0.0,11.5,1
117,0.0,11.44,1
118,0.0,11.38,1
119,0.0,11.33,1
120,0.0,11.27,1
121,0.0,11.21,1
122,0.0,11.16,1
123,0.0,11.1,1
124,0.0,11.05,1
125,0.0,10.99,1
126,0.0,10.93,1
127,0.0,10.88,1
128,0.0,10.82,1
129,0.0,10.77,1
130,0.0,10.71,1
131,0.0,10.65,1
132,0.0,10.6,1
133,0.0,10.54,1
134,0.0,10.49,1
135,0.0,10.43,1
136,0.0,10.37,1
137,0.0,10.32,1
138,0.0,10.26,1
139,0.0,10.21,1
140,0.0,10.15,1
141,0.0,10.09,1
142,0.0,10.04,1
143,0.0,9.98,1
144,0.0,9.93,1
145,0.0,9.87,1
146,0.0,9.81,1
147,0.0,9.76,1
148,0.0,9.7,1
149,0.0,9.64,1
150,0.0,9.59,1
151,0.0,9.53,1
152,0.0,9.48,1
153,0.0,9.42,1
154,0.0,9.36,1
155,0.0,9.31,1
156,0.0,9.25,1
157,0.0,9.2,1
158,0.0,9.14,1
159,0.0,9.08,1
160,0.0,9.03,1
161,0.0,8.97,1
162,0.0,8.92,1
163,0.0,8.86,1
164,0.0,8.8,1
165,0.0,8.75,1
166,0.0,8.69,1
167,0.0,8.64,1
168,0.0,8.58,1
169,0.0,8.52,1
170,0.0,8.47,1
171,0.0,8.41,1
172,0.0,8.36,1
173,0.0,8.3,1
174,0.0,8.24,1
175,0.0,8.19,1
176,0.0,8.13,1
177,0.0,8.07,1
178,0.0,8.02,1
179,0.0,7.96,1
180,0.0,7.91,1
181,0.0,7.85,1
182,0.0,7.79,1
183,0.0,7.74,1
184,0.0,7.68,1
185,0.0,7.63,1
186,0.0,7.57,1
187,0.0,7.51,1
188,0.0,7.46,1
189,0.0,7.4,1
190,0.0,7.35,1
191,0.0,7.29,1
192,0.0,7.23,1
193,0.0,7.18,1
194,0.0,7.12,1
195,0.0,7.07,1
196,0.0,7.01,1
197,0.0,6.95,1
198,0.0,6.9,1
199,0.0,6.84,1
200,0.0,6.79,1
201,0.0,6.73,1
202,0.0,6.67,1
203,0.0,6.62,1
204,0.0,6.56,1
205,0.0,6.5,1
206,0.0,6.45,1
207,0.0,6.39,1
208,0.0,6.34,1
209,0.0,6.28,1
210,0.0,6.22,1
211,0.0,6.17,1
212,0.0,6.11,1
213,0.0,6.06,1
214,0.0,6.0,1
215,0.0,5.94,1
216,0.0,5.89,1
217,0.0,5.83,1
218,0.0,5.78,1
219,0.0,5.72,1
220,0.0,5.66,1
221,0.0,5.61,1
222,0.0,5.55,1
223,0.0,5.5,1
224,0.0,5.44,1
225,0.0,5.38,1
226,0.0,5.33,1
227,0.0,5.27,1
228,0.0,5.21,1
229,0.0,5.16,1
230,0.0,5.1,1
231,0.0,5.05,1
